@RELATION subject1act 

@ATTRIBUTE hipAccelSensor1	REAL 
@ATTRIBUTE hipAccelSensor2 	REAL 
@ATTRIBUTE class 	{walking,standing,running} 

@DATA 
595.991141,509.442230, 'walking'
591.254476,507.310225, 'walking'
581.585909,510.296207, 'walking'
581.354981,502.044600, 'walking'
587.763494,496.502377, 'walking'
598.049726,493.301904, 'walking'
611.806149,502.582130, 'walking'
620.758142,512.492770, 'walking'
625.289497,530.515478, 'walking'
623.547405,542.621107, 'walking'
612.198675,551.683922, 'walking'
616.901313,556.409113, 'walking'
617.167952,545.499169, 'walking'
610.205685,538.736738, 'walking'
618.942845,536.836222, 'walking'
612.457019,533.220104, 'walking'
604.859677,532.577886, 'walking'
599.153418,532.064259, 'walking'
595.372967,534.570631, 'walking'
594.409812,534.118235, 'walking'
581.940932,535.761340, 'walking'
573.339782,539.627983, 'walking'
563.011592,541.684042, 'walking'
563.574461,537.706031, 'walking'
565.950536,535.193391, 'walking'
565.300748,532.666442, 'walking'
568.637688,535.957560, 'walking'
573.573270,533.406695, 'walking'
571.015838,539.442714, 'walking'
574.801905,542.534879, 'walking'
564.765293,547.951494, 'walking'
576.271391,543.126497, 'walking'
567.000405,551.814734, 'walking'
575.709962,548.283506, 'walking'
584.801773,545.707114, 'walking'
594.415854,544.625467, 'walking'
595.333181,546.079567, 'walking'
602.492977,541.183685, 'walking'
615.362313,520.321860, 'walking'
614.048544,510.403988, 'walking'
610.529316,509.600337, 'walking'
622.840220,521.920318, 'walking'
636.152788,546.465581, 'walking'
634.444077,563.069777, 'walking'
622.980043,581.750600, 'walking'
605.711795,595.938820, 'walking'
590.305053,605.537338, 'walking'
592.427642,591.872903, 'walking'
612.128513,575.498435, 'walking'
643.112881,541.255612, 'walking'
670.516781,504.819089, 'walking'
676.128084,477.665023, 'walking'
667.079921,455.179708, 'walking'
617.157315,453.663709, 'walking'
581.883186,466.630901, 'walking'
562.842232,481.910849, 'walking'
573.657869,522.912927, 'walking'
572.500751,552.988687, 'walking'
572.880534,561.158156, 'walking'
569.174667,564.011091, 'walking'
579.378531,565.023389, 'walking'
592.824814,542.117515, 'walking'
600.655981,525.851164, 'walking'
608.778017,504.633959, 'walking'
610.752398,494.153495, 'walking'
613.194919,464.937745, 'walking'
600.399450,483.623423, 'walking'
591.403493,508.113222, 'walking'
602.657224,526.863175, 'walking'
608.679195,536.754601, 'walking'
614.982792,542.262668, 'walking'
599.973473,546.508059, 'walking'
593.655792,550.619009, 'walking'
591.538357,541.151476, 'walking'
594.877679,537.609749, 'walking'
602.694253,533.415012, 'walking'
608.141067,525.298700, 'walking'
606.102313,532.888332, 'walking'
601.432791,539.965812, 'walking'
598.088140,544.144679, 'walking'
589.672208,545.763747, 'walking'
587.453636,545.448889, 'walking'
579.063699,542.580452, 'walking'
587.133657,541.211990, 'walking'
592.441504,540.675365, 'walking'
594.701304,528.421365, 'walking'
594.776446,530.744643, 'walking'
601.163400,525.681212, 'walking'
605.413077,527.588203, 'walking'
606.884746,530.628687, 'walking'
609.954899,532.259072, 'walking'
609.853371,535.141059, 'walking'
606.241366,534.854656, 'walking'
606.319661,538.877722, 'walking'
596.186119,540.391045, 'walking'
591.112332,544.416441, 'walking'
593.431815,540.723033, 'walking'
602.104584,542.358577, 'walking'
613.045420,542.557019, 'walking'
620.049751,542.383940, 'walking'
623.907755,536.603274, 'walking'
627.137439,536.880415, 'walking'
622.935897,530.712827, 'walking'
625.964381,523.794203, 'walking'
615.397685,522.576201, 'walking'
602.643269,520.860809, 'walking'
593.781123,515.330537, 'walking'
589.167472,518.337286, 'walking'
588.454737,513.196262, 'walking'
591.965874,514.093532, 'walking'
586.952425,511.872549, 'walking'
585.750890,517.029847, 'walking'
592.937288,519.560110, 'walking'
599.441068,521.561885, 'walking'
612.802671,524.045920, 'walking'
618.945329,540.193070, 'walking'
614.808766,548.422857, 'walking'
606.037746,560.063983, 'walking'
611.241129,564.576605, 'walking'
618.242777,555.220578, 'walking'
620.737422,543.332017, 'walking'
616.475216,535.529812, 'walking'
613.212322,534.463516, 'walking'
599.377670,530.512182, 'walking'
592.538189,529.781126, 'walking'
587.702328,528.947893, 'walking'
583.681672,535.203140, 'walking'
577.116869,537.125367, 'walking'
571.388194,540.943523, 'walking'
566.646410,542.508655, 'walking'
576.980746,538.401994, 'walking'
577.018042,535.814373, 'walking'
580.912957,540.831476, 'walking'
584.202109,543.016966, 'walking'
582.470260,539.939595, 'walking'
577.939759,544.873439, 'walking'
578.348143,549.575004, 'walking'
572.749936,548.397637, 'walking'
572.638865,547.409259, 'walking'
578.922270,554.577974, 'walking'
581.886617,549.676176, 'walking'
588.478849,550.473784, 'walking'
598.954331,542.449081, 'walking'
606.978544,532.489369, 'walking'
614.262719,526.903302, 'walking'
613.892774,516.758806, 'walking'
609.982668,507.309593, 'walking'
602.790135,514.417477, 'walking'
607.922724,536.380889, 'walking'
617.323811,557.531859, 'walking'
614.582126,570.243116, 'walking'
605.668514,579.031519, 'walking'
595.707381,597.763781, 'walking'
593.665052,599.975323, 'walking'
602.868091,579.437478, 'walking'
616.065751,571.029913, 'walking'
632.126131,541.429219, 'walking'
647.179944,505.625974, 'walking'
664.569238,479.251908, 'walking'
667.675709,469.273877, 'walking'
625.586262,463.699387, 'walking'
586.148632,465.506039, 'walking'
571.933614,491.945762, 'walking'
569.983321,525.342534, 'walking'
572.739247,555.037592, 'walking'
572.089090,563.590467, 'walking'
568.077989,563.939629, 'walking'
570.623862,554.387203, 'walking'
579.364182,543.175471, 'walking'
600.220999,525.172398, 'walking'
609.017401,503.527475, 'walking'
617.771507,490.329742, 'walking'
615.238639,490.742968, 'walking'
601.161933,500.084624, 'walking'
594.660243,508.970602, 'walking'
600.976983,527.334131, 'walking'
609.618989,542.462060, 'walking'
604.954202,544.827284, 'walking'
593.785403,546.563575, 'walking'
587.756462,546.999994, 'walking'
588.804456,543.297121, 'walking'
599.659597,532.725604, 'walking'
603.047876,528.642781, 'walking'
604.922615,525.782914, 'walking'
610.132743,534.346389, 'walking'
606.940558,539.992273, 'walking'
594.304226,536.296851, 'walking'
593.619040,539.094486, 'walking'
586.443122,541.785118, 'walking'
581.716047,540.552634, 'walking'
591.711041,537.530909, 'walking'
594.109237,534.564852, 'walking'
596.137387,532.924895, 'walking'
600.220524,529.269865, 'walking'
606.263021,533.943555, 'walking'
603.722634,530.110208, 'walking'
603.412908,528.297309, 'walking'
598.606620,537.070246, 'walking'
598.261701,541.407634, 'walking'
595.817920,548.586557, 'walking'
598.018688,550.387715, 'walking'
601.062760,549.513122, 'walking'
603.779337,547.894371, 'walking'
613.509178,547.370351, 'walking'
619.427445,537.623126, 'walking'
636.270015,538.654988, 'walking'
630.933956,535.439122, 'walking'
634.758637,540.830728, 'walking'
611.531247,537.298328, 'walking'
603.482228,530.313015, 'walking'
599.032908,532.328018, 'walking'
591.279300,529.309246, 'walking'
586.237154,520.422001, 'walking'
589.209591,518.507632, 'walking'
592.284323,517.655066, 'walking'
599.097900,511.909572, 'walking'
594.276263,502.250115, 'walking'
594.038365,504.870369, 'walking'
600.936129,506.655446, 'walking'
603.379128,510.338051, 'walking'
605.439246,516.864934, 'walking'
607.634037,532.112801, 'walking'
607.040767,541.574363, 'walking'
615.813951,553.597697, 'walking'
626.343392,552.189210, 'walking'
634.381541,536.299848, 'walking'
617.235575,531.263239, 'walking'
606.087508,526.402483, 'walking'
599.100885,525.677284, 'walking'
591.135935,525.613019, 'walking'
586.213394,531.801608, 'walking'
575.991479,531.009664, 'walking'
578.066123,535.155206, 'walking'
569.868463,543.411967, 'walking'
574.588038,548.210857, 'walking'
578.386023,544.739117, 'walking'
582.948240,544.945922, 'walking'
585.539120,546.839105, 'walking'
586.734218,548.372958, 'walking'
580.367139,550.368484, 'walking'
580.917403,550.783288, 'walking'
571.585201,558.557426, 'walking'
567.428601,557.551459, 'walking'
565.326607,557.625636, 'walking'
570.595380,556.662957, 'walking'
573.229850,554.187209, 'walking'
588.666834,553.104578, 'walking'
602.184282,549.551188, 'walking'
614.401154,536.817425, 'walking'
614.822961,517.323500, 'walking'
618.054686,504.070119, 'walking'
621.498464,514.478903, 'walking'
619.217635,541.504032, 'walking'
613.962719,577.987995, 'walking'
601.384315,584.319358, 'walking'
594.963982,590.806449, 'walking'
597.202659,597.724077, 'walking'
621.220452,583.198392, 'walking'
667.870800,545.077757, 'walking'
720.530279,499.598296, 'walking'
693.837120,476.784239, 'walking'
610.246652,472.935926, 'walking'
550.188300,475.581292, 'walking'
557.528418,499.013591, 'walking'
579.745534,513.099966, 'walking'
584.677995,538.110015, 'walking'
587.243341,550.498533, 'walking'
592.481411,559.477217, 'walking'
601.468376,548.574624, 'walking'
599.968836,531.414548, 'walking'
594.073115,520.565086, 'walking'
594.017189,505.369778, 'walking'
596.606289,496.365081, 'walking'
603.127694,491.288732, 'walking'
606.197481,497.358531, 'walking'
599.879805,503.356892, 'walking'
